source1_entity_id	matched_entity_ids
S1-925783039	S2-157377754,S3-997698194
S1-773889195	S2-374107005
S1-377745466	
S1-133037285	S2-116829652,S2-12277364,S2-156093430,S2-17094356,S2-184402475,S2-228753613,S2-249983887,S2-251804019,S2-294350034,S2-328711613,S2-362763426,S2-400283652,S2-422102342,S2-424233644,S2-494744256,S2-513555420,S2-54793953,S2-613746928,S2-63448392,S2-638041429,S2-64110025,S2-694431460,S2-719408306,S2-726697643,S2-786223429,S2-819477377,S2-842026189,S2-857556839,S2-881021516,S2-893312094,S2-903883550,S2-914628617,S2-930765014,S2-955519600,S2-956336467,S2-980137130,S2-992950596,S3-132111311,S3-16023922,S3-16248212,S3-181203852,S3-194006245,S3-246260684,S3-253803995,S3-259032197,S3-260621238,S3-276297873,S3-313288907,S3-334619299,S3-336463118,S3-38214711,S3-455411286,S3-474321619,S3-476003339,S3-49797178,S3-49865200,S3-503426397,S3-504829804,S3-51511490,S3-53247804,S3-546610422,S3-567174157,S3-574108748,S3-57597171,S3-63077359,S3-647907714,S3-719375398,S3-771762582,S3-826569003,S3-830602792,S3-898259789,S3-940895145,S3-995465106
S1-755362802	
S1-851869949	S3-807524060
S1-785847572	S3-943437724,S3-948163592
S1-27541239	S2-563573129,S2-59546355,S3-893131105
S1-629417405	S3-962449159
S1-22305073	S3-183589405,S3-221070872
S1-504790211	
S1-564729135	
S1-236312382	
S1-865131206	S2-112351360,S2-113479717,S2-140823755,S2-152462890,S2-158358320,S2-166850715,S2-16884205,S2-181254901,S2-18581446,S2-189842471,S2-192014108,S2-195041438,S2-209746679,S2-226897644,S2-231351120,S2-236017299,S2-271754521,S2-285882622,S2-291230026,S2-291857106,S2-309306511,S2-320311081,S2-337169986,S2-340726883,S2-349841393,S2-357707478,S2-361242901,S2-36489427,S2-373002251,S2-421152134,S2-42531076,S2-451075041,S2-487191064,S2-490085739,S2-491923152,S2-494746474,S2-497343976,S2-5023125,S2-502317016,S2-517477590,S2-536865029,S2-5424071,S2-544979911,S2-548286806,S2-549483029,S2-562051830,S2-563129031,S2-566117187,S2-577724547,S2-577942016,S2-58297353,S2-586874078,S2-606231700,S2-607307121,S2-617606666,S2-618584999,S2-622467860,S2-63143168,S2-638664692,S2-642766856,S2-651732907,S2-654539481,S2-655583875,S2-656457269,S2-664446032,S2-679686804,S2-684832789,S2-688588955,S2-695828237,S2-723863929,S2-725229130,S2-729159002,S2-729374981,S2-731207459,S2-731432051,S2-740324451,S2-743504917,S2-748382676,S2-752605998,S2-754915567,S2-759195845,S2-767114421,S2-775359530,S2-780771411,S2-781388569,S2-784730844,S2-78501825,S2-793355415,S2-801719247,S2-812073778,S2-814531684,S2-818022518,S2-839668055,S2-844854124,S2-856972085,S2-871822033,S2-876037007,S2-884213918,S2-903237189,S2-915658750,S2-915779194,S2-927663913,S2-929513336,S2-950719615,S2-959048211,S2-962006367,S2-967661254,S2-979756141,S2-989076424,S3-11258461,S3-144634055,S3-162203875,S3-174148906,S3-174858688,S3-199619577,S3-201230600,S3-217523013,S3-224060679,S3-230798545,S3-235465896,S3-235752728,S3-242655508,S3-250972809,S3-256022043,S3-278125636,S3-280579661,S3-283166129,S3-285966999,S3-308103419,S3-316613762,S3-324201081,S3-328585688,S3-333913003,S3-33460457,S3-346996664,S3-353214111,S3-35589688,S3-358194347,S3-358895950,S3-366111218,S3-387717302,S3-388147491,S3-396182029,S3-399210355,S3-401704144,S3-404094019,S3-41750073,S3-418807427,S3-432981862,S3-441559208,S3-450225933,S3-453258513,S3-474519920,S3-475463125,S3-482974526,S3-491747364,S3-497127520,S3-501129021,S3-509207424,S3-531128522,S3-546701223,S3-548479772,S3-563647003,S3-565791675,S3-567734078,S3-575877570,S3-602120352,S3-604983290,S3-615757982,S3-624475137,S3-634331021,S3-640967700,S3-648112540,S3-65094669,S3-661422705,S3-667243561,S3-669849847,S3-677558818,S3-685849460,S3-687210432,S3-691606378,S3-693831374,S3-700561041,S3-703082962,S3-70324553,S3-703732160,S3-711738044,S3-718835766,S3-723723818,S3-73934445,S3-739616158,S3-740384236,S3-745147201,S3-747002053,S3-756920506,S3-765820533,S3-767925393,S3-768051120,S3-775343216,S3-783166834,S3-787877490,S3-80093904,S3-809850537,S3-813853443,S3-822603790,S3-824837857,S3-843323981,S3-847698989,S3-871737265,S3-88734752,S3-889322245,S3-893927988,S3-899581432,S3-906410495,S3-907156351,S3-907374455,S3-910657406,S3-918457819,S3-922550092,S3-925665575,S3-931252972,S3-937083466,S3-9388080,S3-963161812,S3-965403451,S3-965822560,S3-967443001,S3-968198684,S3-970149442,S3-97459354,S3-975179009,S3-977760743,S3-98087401,S3-987619790
S1-626914593	
S1-765734254	S3-161097395,S3-443541055
S1-82053739	S2-835982767,S2-920195931,S3-148907008,S3-179339827,S3-275943112,S3-388452593,S3-583059179,S3-66345806,S3-666211099,S3-744789332,S3-800559914,S3-948546478
S1-309349399	
S1-221443075	S2-861061618,S2-918961068
S1-341506266	
